Date;Code;Close;Open;Low;High;Bid;Ask;WeightedAverage;Amount;Volume;NumberOfTrades
04.08.2020;МосБиржа;140,55;139,36;137,27;140,79;140,55;140,68;139,42;16592550;2313381667,3;36681
04.08.2020;ФСК ЕЭС-24;;;;;99,6;100,99;;0;0;0
04.08.2020;МЕТАЛИНВ 2;103,6;108,5;103,6;108,5;98,1;104,4;107,06;17;18200;6
04.08.2020;МЕТАЛИНВ 3;105,15;105,15;105,15;105,15;98;105,15;105,15;12;12618;1
04.08.2020;ПИФКредит1;;;;;;;;0;0;0
04.08.2020;ПИФКапит.2;;;;;;;;0;0;0
04.08.2020;Югра-кред;;;;;;;;0;0;0
04.08.2020;ПИФТрЮКред;;;;;;;;0;0;0
04.08.2020;ПИФЕвразия;;;;;;;;0;0;0
04.08.2020;ПИФАпрелев;;;;;;;;0;0;0
04.08.2020;ПИФГорки-2;;;;;;;;0;0;0
04.08.2020;ПИФМскПром;;;;;;;;0;0;0
04.08.2020;ПИФИвПром;;;;;;;;0;0;0
04.08.2020;ПИФДомПром;;;;;;;;0;0;0
04.08.2020;ПИФОдинцПр;;;;;;;;0;0;0
04.08.2020;iЗПИФУКБио;;;;;;;;0;0;0
04.08.2020;ПИФГФКПрКр;;;;;;;;0;0;0
04.08.2020;ПИФПервЗем;;;;;;;;0;0;0
04.08.2020;Башнефть06;105,5;105,05;105,01;105,5;105,02;105,5;105,49;390;411415,1;11
04.08.2020;Башнефть07;100,75;100,75;100,5;100,75;100,74;100,75;100,74;37;37274,5;15
04.08.2020;Башнефть08;105,45;102;102;106,99;105,45;105,99;106,13;38;40327,9;9
04.08.2020;Башнефть09;;;;;100,19;101,99;;0;0;0
04.08.2020;ПИФПятЗем;;;;;;;;0;0;0
04.08.2020;ПИФСбер-КН;175;175;174;175;174;175;175;430;75150;10
04.08.2020;РусГидро07;89;90,72;89;90,72;89;90;90,15;3;2704,4;2
04.08.2020;РусГидро08;91;89,03;89,03;91;90;92,99;90,02;2;1800,3;2
04.08.2020;МТС БО-01;102,4;102,4;102,4;102,4;102,3;102,35;102,4;50;51200;1
04.08.2020;Роснефть07;104,2;104;104;104,25;103,51;104,2;104,07;44;45792,3;6
04.08.2020;Роснефть08;104,49;104,49;104,49;104,49;103,22;104,48;104,49;2;2089,8;2
04.08.2020;РЖД-28 обл;101,75;101,76;101,75;101,76;101,75;102,05;101,75;1499;1525250,5;3
04.08.2020;ОбКонФ БО1;;;;;90;;;0;0;0
04.08.2020;Россети ао;1,62;1,6338;1,6113;1,6464;1,6215;1,623;1,6254;132328000;215088906,1;4729
04.08.2020;Россети ап;2,133;2,146;2,131;2,197;2,132;2,139;2,166;8709000;18863814;841
04.08.2020;FXRB ETF;1750;1748;1744;1755;1749;1750;1746;22737;39701388;701
04.08.2020;ОКС ао;1460;1460;1440;1460;1440;1450;1440;124;179050;24
04.08.2020;ВерЦемЗав1;94,7;94,7;94,7;94,7;94,7;95,75;94,7;6;5682;1
04.08.2020;ИСУ-2;;;;;;;;0;0;0
04.08.2020;РЖД БО-18;;;;;90;;;0;0;0
04.08.2020;ТКБ БО-2;;;;;90,02;;;0;0;0
04.08.2020;Polymetal;1894,1;1849,9;1805;1897,8;1894,1;1895;1846,5;1235715;2281787734,9;29448
